,x,y,times
0,,,0.0
1,,,16.8
2,,,33.4
3,,,50.1
4,,,51.8
5,,,69.7
6,,,86.7
7,,,104.6
8,,,121.7
9,,,139.9
10,,,156.9
11,,,173.4
12,,,190.1
13,,,206.8
14,,,223.4
15,,,240.1
16,,,241.0
17,,,258.8
18,,,275.5
19,850.0,344.0,293.4
20,877.0,271.0,310.1
21,848.0,181.0,328.0
22,869.0,240.0,344.9
23,827.0,264.0,362.6
24,838.0,223.0,379.2
25,869.0,184.0,397.2
26,819.0,211.0,414.2
27,875.0,202.0,431.9
28,,,448.5
29,861.0,182.0,466.4
30,865.0,176.0,484.0
31,865.0,197.0,500.6
32,878.0,207.0,517.3
33,865.0,227.0,534.0
34,863.0,225.0,550.6
35,861.0,223.0,567.3
36,858.0,220.0,584.0
37,864.0,223.0,600.6
38,811.0,394.0,617.3
39,859.0,346.0,634.0
40,840.0,360.0,650.6
41,848.0,359.0,667.3
42,865.0,352.0,684.0
43,,,700.6
44,869.0,362.0,717.3
45,859.0,356.0,734.0
46,875.0,418.0,750.6
47,859.0,353.0,767.3
48,867.0,398.0,784.0
49,877.0,417.0,800.7
50,871.0,411.0,817.3
51,877.0,407.0,834.0
52,872.0,412.0,850.6
53,840.0,416.0,867.3
54,849.0,416.0,884.0
55,851.0,421.0,900.6
56,849.0,413.0,917.2
57,847.0,411.0,933.9
58,825.0,338.0,950.5
59,841.0,331.0,967.2
60,848.0,413.0,983.9
61,870.0,507.0,1000.5
62,838.0,346.0,1017.2
63,849.0,439.0,1033.9
64,813.0,241.0,1050.5
65,852.0,186.0,1067.2
66,810.0,188.0,1083.9
67,,,1100.5
68,,,1117.2
69,,,1133.8
70,,,1150.5
71,,,1167.2
72,,,1183.8
73,,,1200.5
74,,,1217.1
75,,,1233.9
76,,,1250.5
77,,,1267.2
78,,,1283.9
79,,,1300.5
80,,,1317.3
81,,,1333.9
82,,,1350.6
83,,,1367.3
84,,,1383.9
85,,,1401.1
86,,,1417.9
87,,,1434.9
88,,,1451.9
89,,,1469.1
90,,,1486.3
91,,,1503.5
92,,,1520.7
93,,,1537.7
94,,,1554.9
95,,,1571.5
96,,,1588.2
97,,,1604.9
98,,,1621.5
99,,,1638.2
100,,,1654.9
101,,,1671.5
102,,,1688.2
103,,,1704.9
104,,,1721.5
105,,,1738.2
106,,,1754.9
107,,,1771.5
108,,,1788.2
109,,,1804.9
110,,,1821.5
111,,,1838.2
112,,,1854.9
113,,,1871.5
114,,,1888.2
115,,,1904.9
116,,,1921.5
117,,,1938.2
118,,,1954.8
119,,,1971.5
120,,,1988.2
121,,,2004.8
122,,,2021.5
123,,,2038.2
124,,,2054.8
125,,,2071.5
126,,,2088.2
127,,,2104.8
128,,,2121.5
129,,,2138.2
130,,,2154.8
131,,,2171.5
132,,,2188.2
133,,,2204.8
134,,,2221.5
135,,,2238.2
136,,,2254.8
137,,,2271.5
138,,,2288.2
139,,,2304.8
140,,,2321.5
141,,,2338.1
142,,,2354.8
143,,,2371.5
144,,,2388.1
145,,,2404.8
146,,,2421.5
147,,,2438.1
148,,,2454.8
149,,,2471.5
150,,,2488.1
151,,,2504.8
152,,,2521.5
153,,,2538.1
154,,,2554.8
155,,,2571.5
156,,,2588.1
157,,,2604.8
158,,,2621.5
159,,,2638.1
160,,,2654.8
161,,,2671.5
162,,,2688.1
163,,,2704.8
164,,,2721.5
165,,,2738.1
166,,,2754.8
167,,,2771.4
168,,,2788.1
169,,,2804.8
170,,,2821.4
171,,,2838.1
172,,,2854.8
173,,,2871.4
174,,,2888.1
175,,,2904.8
176,,,2921.4
177,,,2938.1
178,,,2954.8
179,,,2971.4
180,,,2988.1
181,,,3004.8
182,,,3021.4
183,,,3038.1
184,,,3054.8
185,,,3071.4
186,,,3088.1
187,,,3103.4
188,,,3120.1
189,,,3136.8
190,,,3153.4
191,,,3170.1
192,,,3186.7
193,,,3203.4
194,,,3220.1
195,,,3236.7
196,,,3253.4
197,,,3270.1
198,,,3286.7
199,,,3303.4
200,,,3320.1
201,,,3336.7
202,,,3353.4
203,,,3370.1
204,,,3386.7
205,,,3403.4
206,,,3420.1
207,,,3436.7
208,,,3448.3
209,,,3465.0
210,,,3482.7
211,,,3499.4
212,,,3516.9
213,,,3533.5
214,,,3551.1
215,,,3567.8
216,,,3585.4
217,,,3602.4
218,,,3620.0
219,,,3636.7
220,,,3653.3
221,,,3670.0
222,,,3686.7
223,,,3703.3
224,,,3720.0
225,,,3736.7
226,,,3753.3
227,,,3770.0
228,,,3786.7
229,,,3803.3
230,,,3820.0
231,,,3836.6
232,,,3853.3
