,x,y,times
0,960.0,302.0,0.0
1,966.0,292.0,16.7
2,959.0,294.0,33.3
3,961.0,313.0,50.0
4,960.0,299.0,66.7
5,975.0,302.0,83.4
6,966.0,305.0,100.0
7,967.0,296.0,116.7
8,964.0,306.0,133.4
9,966.0,299.0,150.0
10,960.0,293.0,166.7
11,960.0,296.0,183.4
12,960.0,297.0,200.0
13,966.0,299.0,216.7
14,962.0,295.0,233.4
15,947.0,305.0,250.1
16,823.0,242.0,266.7
17,832.0,249.0,283.4
18,824.0,244.0,300.1
19,823.0,257.0,316.8
20,823.0,255.0,333.3
21,822.0,253.0,349.9
22,824.0,243.0,366.6
23,821.0,240.0,383.3
24,828.0,239.0,399.9
25,818.0,246.0,416.6
26,829.0,264.0,433.3
27,778.0,206.0,450.0
28,781.0,214.0,466.6
29,781.0,223.0,483.3
30,782.0,202.0,499.9
31,779.0,224.0,516.6
32,785.0,206.0,533.3
33,786.0,214.0,549.9
34,779.0,208.0,566.6
35,771.0,214.0,583.3
36,788.0,217.0,599.9
37,792.0,249.0,616.6
38,780.0,208.0,633.3
39,779.0,209.0,649.9
40,794.0,220.0,666.6
41,848.0,215.0,683.3
42,1031.0,225.0,700.0
43,1008.0,231.0,716.7
44,1033.0,241.0,733.3
45,1030.0,226.0,749.9
46,1028.0,230.0,766.6
47,1026.0,235.0,783.3
48,1030.0,240.0,799.9
49,1031.0,241.0,816.6
50,1021.0,235.0,833.1
51,1027.0,235.0,849.8
52,1022.0,235.0,866.4
53,1037.0,242.0,883.1
54,1029.0,223.0,899.8
55,1034.0,233.0,916.5
56,1031.0,231.0,933.1
57,1037.0,233.0,949.7
58,1029.0,223.0,966.4
59,1085.0,237.0,983.1
60,1064.0,244.0,999.7
61,1082.0,250.0,1016.4
62,1062.0,236.0,1033.1
63,1071.0,235.0,1049.7
64,1076.0,245.0,1066.4
65,1079.0,238.0,1083.0
66,1085.0,248.0,1099.7
67,1063.0,250.0,1116.4
68,1066.0,259.0,1133.0
69,1087.0,262.0,1149.7
