,x,y,times
0,951.0,336.0,0.0
1,973.0,327.0,16.7
2,983.0,350.0,33.3
3,950.0,344.0,50.0
4,981.0,340.0,66.7
5,953.0,354.0,83.3
6,950.0,326.0,100.0
7,975.0,327.0,116.7
8,975.0,329.0,133.3
9,956.0,332.0,150.0
10,963.0,324.0,166.7
11,952.0,340.0,183.3
12,955.0,315.0,200.0
13,956.0,316.0,216.7
14,952.0,326.0,233.4
15,1000.0,257.0,250.0
16,989.0,128.0,266.7
17,998.0,169.0,283.3
18,992.0,144.0,300.0
19,995.0,159.0,316.7
20,999.0,146.0,333.3
21,990.0,145.0,350.0
22,991.0,155.0,366.7
23,986.0,145.0,383.3
24,1000.0,154.0,400.0
25,1005.0,119.0,416.6
26,1004.0,107.0,433.3
27,1002.0,95.0,450.0
28,998.0,115.0,466.6
29,1007.0,102.0,483.3
30,999.0,99.0,500.0
31,1004.0,97.0,516.7
32,1000.0,100.0,533.3
33,1008.0,96.0,550.0
34,989.0,103.0,566.7
35,994.0,110.0,583.3
36,1002.0,118.0,600.0
37,1004.0,115.0,616.7
38,990.0,100.0,633.3
39,1007.0,112.0,650.0
40,989.0,102.0,666.7
41,1006.0,107.0,683.3
42,1011.0,112.0,700.0
43,1003.0,110.0,716.7
44,994.0,107.0,733.3
45,1001.0,107.0,750.0
46,1003.0,108.0,766.7
47,996.0,94.0,783.4
48,993.0,112.0,800.0
49,1001.0,109.0,816.7
50,1001.0,117.0,833.4
51,1078.0,240.0,850.0
52,1066.0,229.0,866.7
53,1080.0,262.0,883.4
54,1067.0,260.0,899.9
55,1073.0,246.0,916.6
56,1068.0,260.0,933.2
57,1073.0,265.0,949.9
58,1080.0,264.0,966.6
59,1079.0,258.0,983.2
60,1070.0,273.0,999.9
61,1076.0,255.0,1016.6
62,1076.0,260.0,1033.2
63,1084.0,260.0,1049.9
64,1077.0,257.0,1066.6
65,1076.0,263.0,1083.2
66,1068.0,245.0,1099.9
67,1079.0,265.0,1116.6
68,1080.0,247.0,1133.2
69,1072.0,255.0,1149.9
