,x,y,times
0,,,0.0
1,,,16.8
2,,,33.6
3,,,50.3
4,,,66.9
5,,,83.6
6,,,100.3
7,,,116.9
8,,,133.6
9,,,150.3
10,,,166.9
11,,,183.6
12,,,200.3
13,,,216.9
14,,,233.6
15,,,250.3
16,,,266.9
17,,,283.6
18,,,300.3
19,,,316.9
20,,,333.6
21,,,350.3
22,,,366.9
23,,,383.6
24,,,400.3
25,,,416.9
26,,,433.6
27,,,450.3
28,,,466.9
29,,,483.6
30,,,500.2
31,,,516.9
32,,,533.6
33,,,550.2
34,,,566.9
35,1140.0,329.0,573.2
36,,,589.9
37,,,606.5
38,,,623.2
39,1120.0,371.0,639.4
40,,,656.1
41,,,672.8
42,,,689.4
43,,,706.1
44,,,722.8
45,,,739.4
46,,,756.1
47,,,772.8
48,,,789.4
49,,,806.1
50,,,822.8
51,,,839.4
52,,,856.1
53,,,872.7
54,,,889.4
55,,,906.1
56,1052.0,341.0,917.3
57,1048.0,384.0,935.8
58,,,953.2
59,933.0,419.0,971.4
60,781.0,383.0,989.8
61,826.0,389.0,1008.1
62,803.0,388.0,1026.0
63,819.0,463.0,1042.8
64,803.0,386.0,1059.4
65,785.0,373.0,1076.0
66,820.0,459.0,1092.7
67,804.0,416.0,1109.4
68,781.0,443.0,1126.0
69,802.0,391.0,1142.7
70,776.0,419.0,1159.3
71,798.0,415.0,1176.0
72,908.0,361.0,1192.7
73,871.0,349.0,1209.3
74,900.0,382.0,1226.0
75,890.0,397.0,1242.7
76,875.0,372.0,1259.3
77,897.0,363.0,1275.9
78,863.0,392.0,1292.6
79,890.0,356.0,1309.3
80,912.0,389.0,1325.9
81,881.0,373.0,1342.6
82,897.0,375.0,1359.3
83,899.0,365.0,1375.9
84,882.0,395.0,1392.6
85,890.0,361.0,1409.3
86,890.0,364.0,1425.9
87,823.0,376.0,1442.6
88,764.0,338.0,1459.2
89,809.0,350.0,1475.9
90,801.0,333.0,1492.6
91,806.0,350.0,1509.2
92,811.0,371.0,1526.1
93,810.0,312.0,1542.7
94,802.0,391.0,1559.4
95,810.0,389.0,1576.0
96,785.0,403.0,1592.7
97,795.0,383.0,1609.4
98,817.0,393.0,1626.0
99,809.0,407.0,1642.7
100,801.0,372.0,1659.4
101,803.0,339.0,1676.0
102,799.0,401.0,1692.7
103,796.0,325.0,1709.4
104,793.0,352.0,1726.0
105,775.0,332.0,1742.7
106,816.0,336.0,1759.4
107,806.0,344.0,1776.0
108,805.0,359.0,1792.7
109,811.0,399.0,1809.4
110,794.0,335.0,1826.0
111,801.0,374.0,1842.7
112,917.0,308.0,1859.4
113,899.0,333.0,1876.0
114,911.0,347.0,1892.7
115,904.0,352.0,1909.3
116,892.0,326.0,1926.0
117,886.0,270.0,1942.7
118,906.0,350.0,1959.3
119,911.0,316.0,1976.0
120,893.0,343.0,1992.7
121,878.0,346.0,2009.3
122,884.0,275.0,2026.1
123,922.0,313.0,2042.8
124,898.0,340.0,2059.5
125,909.0,367.0,2076.1
126,898.0,334.0,2092.8
127,886.0,366.0,2109.5
128,900.0,350.0,2126.1
129,880.0,360.0,2142.8
130,1057.0,342.0,2159.5
131,1163.0,328.0,2176.1
132,1137.0,356.0,2192.8
133,1133.0,337.0,2209.5
134,1161.0,298.0,2226.1
135,1147.0,329.0,2242.8
136,1156.0,308.0,2259.5
137,1163.0,357.0,2276.1
138,1173.0,320.0,2292.8
139,1165.0,351.0,2309.5
140,1157.0,368.0,2326.1
141,1157.0,354.0,2342.8
142,1153.0,368.0,2359.4
143,1144.0,371.0,2376.1
144,1154.0,309.0,2392.8
145,1151.0,356.0,2409.4
146,1161.0,349.0,2426.1
147,1157.0,332.0,2442.8
148,1146.0,361.0,2459.4
149,1149.0,340.0,2476.1
150,1150.0,366.0,2492.8
151,1155.0,368.0,2509.4
152,1074.0,351.0,2526.2
153,1120.0,296.0,2542.8
154,1100.0,359.0,2559.5
155,1072.0,336.0,2576.1
156,1104.0,347.0,2592.8
157,1088.0,311.0,2609.5
158,1095.0,324.0,2626.2
159,1111.0,323.0,2642.8
160,1111.0,359.0,2659.5
161,1085.0,377.0,2676.1
162,1098.0,385.0,2692.8
163,1082.0,350.0,2709.5
164,982.0,338.0,2726.1
165,1023.0,356.0,2742.8
166,993.0,341.0,2759.5
167,986.0,334.0,2776.1
168,1009.0,333.0,2792.8
169,1010.0,379.0,2809.5
170,1017.0,341.0,2826.1
171,1008.0,351.0,2842.8
172,1004.0,339.0,2859.5
173,1009.0,380.0,2876.1
174,1010.0,348.0,2892.8
175,999.0,362.0,2909.5
176,1018.0,324.0,2926.1
177,1017.0,331.0,2942.8
178,1009.0,362.0,2959.5
179,1014.0,346.0,2976.1
180,1020.0,349.0,2992.8
181,987.0,356.0,3009.5
182,798.0,379.0,3026.1
183,820.0,360.0,3042.8
184,791.0,354.0,3059.5
185,783.0,337.0,3076.1
186,803.0,358.0,3092.8
187,771.0,300.0,3109.5
188,781.0,344.0,3126.1
189,779.0,376.0,3142.8
190,804.0,332.0,3159.5
191,784.0,381.0,3176.1
192,765.0,372.0,3192.8
193,766.0,345.0,3209.5
194,789.0,343.0,3226.1
195,813.0,331.0,3242.8
196,776.0,390.0,3259.5
197,789.0,343.0,3276.1
198,772.0,332.0,3292.8
199,774.0,308.0,3309.5
200,855.0,340.0,3326.1
201,836.0,360.0,3342.8
202,835.0,365.0,3359.5
203,838.0,332.0,3376.1
204,845.0,325.0,3392.8
205,825.0,344.0,3409.5
206,851.0,347.0,3426.1
207,845.0,353.0,3442.8
208,851.0,328.0,3459.5
209,840.0,368.0,3476.1
210,849.0,354.0,3492.8
211,856.0,380.0,3509.5
212,863.0,344.0,3526.1
213,838.0,371.0,3542.8
214,845.0,339.0,3559.4
215,838.0,340.0,3576.1
216,814.0,320.0,3592.7
217,814.0,355.0,3609.4
218,805.0,325.0,3626.1
219,831.0,318.0,3642.8
220,801.0,348.0,3659.4
221,805.0,341.0,3676.1
222,823.0,313.0,3692.8
223,825.0,352.0,3709.4
224,822.0,327.0,3726.1
225,796.0,325.0,3742.8
226,789.0,353.0,3759.4
227,905.0,323.0,3776.1
228,1107.0,342.0,3792.8
229,1081.0,353.0,3809.4
230,1102.0,332.0,3826.1
231,1104.0,381.0,3842.8
232,1099.0,365.0,3859.4
233,1109.0,360.0,3876.1
234,1096.0,389.0,3892.8
235,1100.0,374.0,3909.4
236,1092.0,353.0,3926.1
237,1100.0,320.0,3942.8
238,1105.0,355.0,3959.4
239,1145.0,405.0,3976.1
240,1356.0,772.0,3992.8
241,1459.0,1141.0,4009.4
242,,,4026.1
243,,,4042.7
244,,,4059.4
245,,,4076.0
246,,,4092.7
247,,,4109.4
248,,,4126.0
249,,,4142.7
250,,,4159.3
251,,,4176.0
252,,,4192.7
253,,,4209.3
254,,,4226.0
255,,,4242.7
256,,,4259.3
257,,,4276.0
258,,,4292.6
259,,,4309.5
260,,,4326.1
261,,,4343.0
262,,,4360.0
263,,,4376.8
264,,,4393.9
265,,,4410.9
266,,,4428.0
267,,,4445.3
268,,,4462.8
269,,,4480.6
270,,,4497.2
271,,,4513.9
272,,,4530.6
