,x,y,times
0,961.0,383.0,0.0
1,951.0,401.0,16.6
2,,,32.4
3,945.0,401.0,50.0
4,944.0,376.0,66.6
5,958.0,372.0,83.3
6,956.0,336.0,100.0
7,955.0,371.0,116.5
8,958.0,373.0,133.2
9,946.0,377.0,149.8
10,946.0,405.0,166.5
11,954.0,362.0,183.2
12,960.0,388.0,199.8
13,943.0,371.0,216.5
14,951.0,417.0,233.2
15,962.0,379.0,249.8
16,947.0,422.0,266.5
17,953.0,371.0,283.1
18,939.0,378.0,299.8
19,946.0,375.0,316.5
20,947.0,392.0,333.1
21,942.0,370.0,349.8
22,947.0,374.0,366.4
23,940.0,389.0,383.1
24,958.0,398.0,399.8
25,961.0,356.0,416.4
26,953.0,393.0,433.1
27,933.0,373.0,449.8
28,971.0,362.0,466.4
29,965.0,374.0,483.1
30,959.0,366.0,499.7
31,948.0,402.0,516.4
32,977.0,566.0,533.1
33,1105.0,962.0,549.7
34,1155.0,1272.0,566.4
35,,,583.0
36,,,599.7
37,,,616.7
38,,,633.4
39,,,650.0
40,,,666.7
41,,,683.4
42,,,700.0
43,,,716.7
44,,,733.4
45,,,750.0
46,,,766.7
47,,,782.4
48,,,800.0
49,,,816.7
50,,,833.4
51,,,850.1
52,,,867.1
53,,,883.3
54,,,900.9
55,,,917.5
56,,,934.3
57,,,951.0
58,,,967.8
59,,,984.8
60,,,1001.8
61,,,1018.7
62,,,1035.7
63,,,1053.3
64,,,1070.5
65,,,1087.7
66,,,1105.4
