,x,y,times
0,916.0,283.0,0.0
1,910.0,296.0,16.7
2,876.0,282.0,33.4
3,921.0,307.0,50.0
4,897.0,276.0,66.7
5,902.0,257.0,83.4
6,895.0,266.0,100.0
7,870.0,288.0,116.7
8,913.0,266.0,133.4
9,884.0,269.0,150.0
10,894.0,283.0,166.7
11,900.0,271.0,183.4
12,877.0,296.0,200.0
13,890.0,296.0,216.7
14,901.0,302.0,233.4
15,885.0,291.0,250.0
16,891.0,277.0,266.7
17,878.0,252.0,283.4
18,894.0,269.0,300.0
19,896.0,255.0,316.7
20,912.0,272.0,333.4
21,906.0,268.0,350.0
22,871.0,286.0,366.7
23,902.0,298.0,383.4
24,896.0,271.0,400.0
25,940.0,297.0,416.7
26,902.0,232.0,433.4
27,907.0,274.0,450.0
28,998.0,370.0,466.7
29,967.0,414.0,483.4
30,976.0,393.0,500.0
31,943.0,490.0,516.7
32,1001.0,422.0,533.4
33,982.0,419.0,550.0
34,1000.0,425.0,566.7
35,988.0,427.0,583.4
36,980.0,423.0,600.0
37,1008.0,422.0,616.7
38,983.0,381.0,633.4
39,969.0,390.0,650.0
40,965.0,372.0,666.7
41,1004.0,421.0,683.4
42,965.0,404.0,700.0
43,950.0,390.0,716.7
44,936.0,396.0,733.4
45,921.0,414.0,750.0
46,954.0,372.0,766.7
47,1025.0,342.0,783.4
48,951.0,384.0,800.0
49,976.0,415.0,816.6
50,939.0,388.0,833.3
51,933.0,374.0,850.0
52,925.0,403.0,866.7
53,926.0,396.0,883.3
54,938.0,405.0,900.0
55,928.0,387.0,916.7
56,930.0,390.0,933.3
57,1048.0,395.0,950.0
58,1377.0,427.0,966.7
59,1709.0,183.0,983.3
60,1922.0,532.0,1000.0
61,2169.0,309.0,1016.7
62,2495.0,318.0,1033.3
63,2560.0,399.0,1050.0
64,3089.0,395.0,1066.6
65,3170.0,-33.0,1083.3
66,,,1100.0
67,,,1116.6
68,3339.0,889.0,1133.9
69,3382.0,957.0,1150.5
70,3174.0,1029.0,1167.2
71,3331.0,862.0,1183.8
72,1615.0,-1139.0,1200.5
73,,,1217.2
74,3414.0,960.0,1233.9
75,,,1250.5
76,3387.0,986.0,1267.2
77,,,1282.3
78,3509.0,1018.0,1300.5
79,,,1317.2
80,3428.0,1023.0,1333.8
81,,,1350.5
82,3233.0,907.0,1367.2
83,,,1383.8
84,2585.0,956.0,1400.5
85,,,1417.2
86,1854.0,366.0,1433.7
87,1319.0,308.0,1450.7
88,,,1467.6
89,,,1484.6
90,,,1501.3
91,,,1518.1
92,,,1534.7
93,1074.0,368.0,1551.4
94,1060.0,351.0,1568.1
95,1065.0,310.0,1584.8
96,1068.0,344.0,1601.5
97,1077.0,349.0,1618.1
98,1071.0,384.0,1634.8
99,1062.0,349.0,1651.5
100,1057.0,351.0,1668.1
101,1083.0,334.0,1684.8
102,,,1700.1
103,1044.0,369.0,1718.1
104,1022.0,379.0,1734.8
105,1056.0,361.0,1751.4
106,1048.0,396.0,1768.1
107,1038.0,352.0,1784.8
108,971.0,394.0,1801.5
109,1099.0,349.0,1818.1
110,1040.0,419.0,1834.8
111,1047.0,365.0,1851.5
112,1060.0,354.0,1868.1
113,1045.0,302.0,1884.8
114,1045.0,363.0,1901.6
115,1076.0,374.0,1918.6
116,1096.0,371.0,1935.7
117,,,1953.2
118,,,1970.7
119,,,1988.3
120,975.0,367.0,2006.2
121,966.0,381.0,2022.9
122,973.0,426.0,2039.5
123,994.0,411.0,2056.2
124,1010.0,434.0,2072.9
125,1005.0,430.0,2089.5
126,1017.0,365.0,2106.2
127,987.0,456.0,2122.8
128,988.0,410.0,2139.5
129,,,2154.7
130,998.0,346.0,2172.9
131,990.0,390.0,2189.5
132,982.0,413.0,2206.2
133,981.0,377.0,2222.9
134,987.0,360.0,2239.5
135,998.0,305.0,2256.2
136,987.0,397.0,2272.9
137,1011.0,380.0,2289.5
138,912.0,397.0,2306.1
139,967.0,412.0,2322.8
