,x,y,times
0,894.0,287.0,0.0
1,908.0,281.0,16.6
2,897.0,313.0,33.5
3,885.0,307.0,50.2
4,892.0,255.0,66.8
5,883.0,307.0,83.5
6,912.0,334.0,100.1
7,911.0,295.0,116.8
8,912.0,269.0,133.5
9,894.0,275.0,150.2
10,910.0,337.0,166.9
11,920.0,268.0,183.5
12,919.0,223.0,200.1
13,879.0,306.0,216.8
14,901.0,245.0,233.5
15,928.0,322.0,250.1
16,899.0,254.0,266.8
17,913.0,310.0,283.5
18,901.0,338.0,300.1
19,915.0,323.0,316.8
20,869.0,359.0,333.5
21,920.0,326.0,350.1
22,900.0,315.0,366.8
23,1005.0,422.0,383.4
24,1018.0,499.0,400.1
25,1036.0,513.0,416.8
26,1017.0,448.0,433.4
27,1000.0,521.0,450.1
28,1009.0,491.0,466.8
29,1025.0,493.0,483.4
30,1037.0,479.0,500.1
31,1006.0,449.0,516.8
32,1021.0,502.0,533.6
33,1000.0,472.0,550.2
34,1031.0,483.0,566.8
35,1014.0,500.0,583.5
36,1010.0,491.0,600.2
37,1028.0,508.0,616.8
38,1025.0,465.0,633.5
39,1013.0,483.0,650.2
40,1027.0,487.0,666.8
41,994.0,484.0,683.5
42,978.0,466.0,700.2
43,1012.0,512.0,716.8
44,1018.0,541.0,733.5
45,1026.0,479.0,750.2
46,997.0,520.0,766.8
47,1000.0,509.0,783.5
48,969.0,517.0,800.2
49,1021.0,485.0,816.8
50,1025.0,415.0,833.5
51,1000.0,416.0,850.2
52,1021.0,368.0,866.9
53,1001.0,401.0,883.5
54,1018.0,393.0,900.2
55,1017.0,405.0,916.8
56,1011.0,428.0,933.5
57,1025.0,384.0,950.2
58,1003.0,352.0,966.8
59,1025.0,368.0,983.5
60,1010.0,394.0,1000.2
61,1017.0,406.0,1016.8
62,1014.0,371.0,1033.5
63,1012.0,388.0,1050.2
64,1000.0,383.0,1066.9
65,1006.0,366.0,1083.5
66,1048.0,403.0,1100.2
67,990.0,407.0,1116.9
68,1029.0,408.0,1133.5
69,858.0,281.0,1150.2
70,808.0,258.0,1166.9
71,765.0,263.0,1183.5
