,x,y,times
0,,,0.0
1,,,16.7
2,,,32.4
3,809.0,346.0,50.4
4,,,66.1
5,906.0,303.0,84.1
6,,,100.1
7,912.0,314.0,118.1
8,,,134.1
9,919.0,319.0,152.1
10,,,168.2
11,930.0,317.0,186.3
12,916.0,319.0,202.9
13,923.0,320.0,219.6
14,922.0,318.0,236.2
15,922.0,320.0,252.9
16,920.0,314.0,269.5
17,924.0,326.0,286.2
18,928.0,313.0,302.9
19,921.0,319.0,319.5
20,927.0,315.0,336.2
21,933.0,312.0,352.8
22,976.0,281.0,369.5
23,975.0,273.0,386.2
24,976.0,303.0,402.9
25,977.0,274.0,419.5
26,980.0,277.0,436.2
27,,,452.9
28,983.0,282.0,469.5
29,987.0,279.0,486.2
30,975.0,293.0,502.9
31,987.0,279.0,519.5
32,974.0,297.0,536.2
33,971.0,292.0,552.8
34,,,569.5
35,971.0,272.0,586.2
36,,,602.8
37,960.0,270.0,619.5
38,,,636.2
39,981.0,284.0,652.8
40,,,669.5
41,978.0,273.0,686.2
42,971.0,291.0,702.9
43,870.0,353.0,719.5
44,656.0,466.0,736.2
45,451.0,616.0,752.9
46,365.0,708.0,769.5
47,373.0,692.0,786.2
48,385.0,697.0,802.9
49,379.0,692.0,819.5
50,375.0,695.0,836.2
51,375.0,697.0,852.9
52,380.0,701.0,869.5
53,366.0,693.0,886.2
54,347.0,709.0,902.4
55,351.0,708.0,919.0
56,348.0,710.0,935.7
57,352.0,711.0,952.3
58,376.0,719.0,969.0
59,479.0,726.0,985.7
60,470.0,730.0,1002.4
61,472.0,726.0,1019.0
62,468.0,717.0,1035.7
63,485.0,728.0,1052.4
64,478.0,727.0,1069.0
65,537.0,744.0,1085.7
66,668.0,700.0,1102.4
67,679.0,715.0,1119.0
68,672.0,710.0,1135.7
69,675.0,705.0,1152.3
70,674.0,723.0,1169.0
71,667.0,696.0,1185.6
72,677.0,712.0,1202.3
73,666.0,688.0,1218.9
74,680.0,690.0,1235.6
75,675.0,700.0,1252.3
76,679.0,739.0,1268.9
77,680.0,711.0,1285.6
78,685.0,742.0,1302.3
79,679.0,709.0,1318.9
80,730.0,708.0,1335.6
81,711.0,726.0,1352.3
82,713.0,716.0,1368.9
83,719.0,695.0,1385.6
84,721.0,717.0,1402.3
85,718.0,699.0,1418.9
86,720.0,717.0,1435.6
87,704.0,711.0,1452.3
88,712.0,720.0,1468.9
89,717.0,713.0,1485.6
90,715.0,698.0,1502.3
91,726.0,691.0,1518.9
92,715.0,724.0,1535.5
93,718.0,708.0,1552.2
94,721.0,709.0,1568.9
95,710.0,728.0,1585.5
96,719.0,715.0,1602.2
97,717.0,713.0,1618.9
98,736.0,659.0,1635.5
99,800.0,591.0,1652.2
100,880.0,523.0,1668.9
101,905.0,414.0,1685.7
102,927.0,358.0,1702.4
103,928.0,353.0,1719.0
104,926.0,364.0,1735.7
105,926.0,359.0,1752.3
106,934.0,353.0,1769.0
107,933.0,350.0,1785.7
108,932.0,356.0,1802.4
109,922.0,367.0,1819.0
110,929.0,348.0,1835.7
111,930.0,354.0,1852.3
112,932.0,347.0,1869.0
113,931.0,346.0,1885.7
114,941.0,348.0,1902.3
115,938.0,339.0,1919.0
116,918.0,303.0,1935.7
117,910.0,263.0,1952.3
118,912.0,263.0,1969.0
119,909.0,276.0,1985.7
120,913.0,258.0,2002.3
121,904.0,269.0,2019.0
122,916.0,265.0,2035.7
123,908.0,264.0,2052.3
124,909.0,273.0,2069.0
125,899.0,273.0,2085.7
126,915.0,260.0,2102.3
127,922.0,252.0,2119.0
128,872.0,333.0,2135.7
129,741.0,468.0,2152.3
130,715.0,613.0,2169.0
131,703.0,711.0,2185.5
132,726.0,671.0,2202.2
133,733.0,650.0,2218.8
134,715.0,701.0,2235.5
135,704.0,701.0,2252.2
136,713.0,688.0,2268.8
137,708.0,682.0,2285.5
138,721.0,668.0,2302.1
139,724.0,682.0,2318.8
140,718.0,705.0,2335.5
141,747.0,717.0,2352.1
142,750.0,667.0,2368.8
143,720.0,665.0,2385.4
144,721.0,681.0,2402.1
145,740.0,711.0,2418.8
146,735.0,702.0,2435.4
147,723.0,714.0,2452.1
148,728.0,672.0,2468.8
149,723.0,652.0,2485.4
150,719.0,694.0,2502.1
151,727.0,668.0,2518.7
152,727.0,672.0,2535.4
153,714.0,708.0,2552.0
154,725.0,667.0,2568.7
155,709.0,659.0,2585.4
156,721.0,665.0,2602.0
157,719.0,675.0,2618.7
158,717.0,673.0,2635.4
159,721.0,668.0,2652.0
160,695.0,658.0,2668.7
161,715.0,674.0,2685.4
162,710.0,698.0,2702.3
163,704.0,693.0,2718.9
164,710.0,723.0,2735.6
165,704.0,676.0,2752.2
166,858.0,670.0,2768.9
167,1060.0,664.0,2785.6
168,1195.0,642.0,2802.2
169,1184.0,648.0,2818.9
170,1186.0,636.0,2835.6
171,1198.0,636.0,2852.2
172,1181.0,644.0,2868.9
173,1191.0,636.0,2885.6
174,1184.0,643.0,2902.2
175,1192.0,639.0,2918.9
176,1198.0,635.0,2935.6
177,1207.0,643.0,2952.2
178,1370.0,660.0,2968.9
179,1443.0,668.0,2985.6
180,1428.0,675.0,3002.2
181,1427.0,672.0,3018.9
182,1431.0,672.0,3035.5
183,1438.0,670.0,3052.2
184,1435.0,670.0,3068.9
185,1438.0,668.0,3085.6
186,1432.0,657.0,3102.2
187,1441.0,698.0,3119.4
188,1451.0,708.0,3136.1
189,1440.0,707.0,3152.7
190,1434.0,709.0,3169.4
191,1433.0,702.0,3186.1
192,1432.0,714.0,3202.9
193,1362.0,637.0,3219.5
194,1150.0,507.0,3236.2
195,994.0,406.0,3252.8
196,953.0,380.0,3269.5
197,962.0,371.0,3286.2
198,945.0,380.0,3302.8
199,970.0,378.0,3319.5
200,954.0,380.0,3336.2
201,954.0,377.0,3352.8
