,x,y,times
0,881,391,0.0
1,889,419,16.6
2,896,396,33.3
3,918,383,50.0
4,899,393,66.7
5,911,413,83.3
6,905,406,100.0
7,897,463,116.6
8,881,395,133.3
9,901,397,150.0
10,883,401,166.6
11,893,398,183.3
12,888,383,200.0
13,903,397,216.6
14,895,452,233.3
15,886,396,250.0
16,897,384,266.6
17,897,399,283.3
18,829,360,300.0
19,834,388,316.6
20,852,328,333.3
21,849,397,349.9
22,843,379,366.6
23,868,375,383.3
24,843,342,399.9
25,839,354,416.6
26,841,360,433.4
27,847,339,450.1
28,849,342,466.8
29,861,358,483.4
30,838,359,500.1
31,838,319,516.8
32,855,326,533.4
33,853,350,550.1
34,842,381,566.8
35,855,338,583.4
36,851,328,600.1
37,854,326,616.7
38,930,474,633.4
39,901,491,650.1
40,925,487,666.8
41,933,467,683.4
42,934,471,700.1
43,906,491,716.8
44,903,514,733.4
45,898,483,750.1
46,919,502,766.8
47,905,496,783.4
48,898,529,800.1
49,891,545,816.8
50,891,539,833.4
51,909,506,850.1
52,821,274,866.8
53,865,429,883.4
54,831,328,900.1
55,846,368,916.8
56,864,336,933.5
57,848,324,950.1
58,857,351,966.8
59,852,381,983.5
60,842,369,1000.1
61,846,364,1016.8
62,861,384,1033.5
63,867,331,1050.1
64,862,357,1066.8
65,854,352,1083.5
66,857,349,1100.1
67,851,357,1116.8
68,841,353,1133.5
69,850,358,1150.1
70,838,372,1166.8
71,845,400,1183.5
72,849,359,1200.1
73,829,375,1216.8
74,853,372,1233.5
75,868,344,1250.1
76,842,386,1266.8
77,853,347,1283.5
78,870,339,1300.1
