,participant,dataset,image,trial,true_value,pred_value,duration,break,switches_fixations,fixations,p_nan,len,switches,line_start_x,line_start_y,line_end_x,line_end_y
0,3,sr,9379_1_0,1,1,1,4.783,0.0,,0.0,21.68,286.0,4.0,46.82251082251078,226.3549783549783,325.26406926406924,472.9350649350649
1,3,sr,8459_1_1,2,1,0,7.575,4.84,1.0,3.0,13.76,458.0,10.0,447.16883116883116,262.3722943722944,35.74025974025966,263.7575757575757
2,3,sr,1225_0_0,3,0,0,16.014,2.455,1.0,2.0,2.71,960.0,18.0,124.39826839826831,267.91341991341983,275.3939393939394,429.99134199134176
3,3,sr,9469_0_1,4,0,0,2.325,1.818,,0.0,0.0,139.0,2.0,64.83116883116878,324.7099567099566,156.25974025974025,499.2554112554112
4,3,sr,656_0_1,5,0,1,5.681,0.7170000000000001,,0.0,3.23,341.0,4.0,315.5670995670996,364.8831168831168,106.38961038961037,507.5670995670996
5,3,sr,5074_1_0,6,1,1,3.529,1.1840000000000002,,0.0,10.85,212.0,3.0,154.87445887445887,319.16883116883116,480.4155844155845,123.84415584415576
6,3,sr,9670_1_1,7,1,1,3.263,0.883,,0.0,0.51,196.0,7.0,9.419913419913343,260.9870129870129,451.32467532467535,380.12121212121207
7,3,sr,1277_1_1,8,1,1,1.822,0.7170000000000001,,0.0,0.0,110.0,4.0,287.86147186147184,91.98268398268392,55.134199134199065,352.4155844155844
8,3,sr,2251_1_1,9,1,1,1.669,0.5670000000000001,,0.0,11.0,100.0,2.0,449.939393939394,103.06493506493496,154.87445887445887,403.6709956709957
9,3,sr,2879_0_1,10,0,1,1.381,1.15,,0.0,1.2,83.0,2.0,350.1991341991342,112.76190476190465,233.83549783549785,461.8528138528138
10,3,sr,7125_0_0,11,0,0,2.8360000000000003,3.45,,0.0,14.71,170.0,6.0,298.94372294372295,98.9090909090908,297.55844155844164,478.4761904761903
11,3,sr,6870_0_1,12,0,1,2.026,0.883,,0.0,0.83,121.0,11.0,268.46753246753246,326.095238095238,341.8874458874459,506.1818181818182
12,3,sr,7198_1_1,13,1,1,1.916,1.152,,0.0,0.87,115.0,8.0,192.27705627705623,125.22943722943717,472.1038961038962,249.9047619047618
13,3,sr,9114_1_1,14,1,1,1.44,0.898,,0.0,3.49,86.0,16.0,26.043290043289968,195.87878787878785,400.0692640692642,169.55844155844147
14,3,sr,3535_0_0,15,0,0,1.277,0.732,,0.0,6.49,77.0,8.0,218.5974025974026,19.94805194805189,53.74891774891768,312.2424242424242
15,3,sr,3701_0_1,16,0,1,1.551,0.9,,0.0,2.15,93.0,11.0,268.46753246753246,40.72727272727264,195.047619047619,414.7532467532467
16,3,sr,3681_1_0,17,1,0,1.826,1.168,,0.0,5.45,110.0,33.0,111.93073593073584,215.2727272727272,502.5800865800867,222.1991341991341
17,3,sr,538_0_1,18,0,1,2.398,0.882,0.0,1.0,4.17,144.0,11.0,258.77056277056283,107.22077922077915,485.95670995671,374.5800865800865
18,3,sr,4679_0_1,19,0,1,3.158,0.917,0.0,1.0,0.0,189.0,5.0,211.67099567099564,93.36796536796528,271.23809523809524,456.31168831168833
19,3,sr,4471_0_1,20,0,0,8.631,0.7,0.0,1.0,12.75,510.0,14.0,103.61904761904758,198.6493506493506,214.4415584415584,502.025974025974
20,3,sr,7366_1_0,21,1,0,4.975,1.0,2.0,9.0,0.0,299.0,8.0,9.419913419913343,182.025974025974,406.99567099567116,226.3549783549783
21,3,sr,8074_1_0,22,1,0,2.714,0.6,0.0,1.0,11.66,163.0,4.0,352.96969696969705,234.66666666666657,145.17748917748912,500.6406926406926
22,3,sr,4535_1_1,23,1,1,3.736,0.733,0.0,5.0,22.87,223.0,7.0,14.961038961038895,220.8138528138528,466.5627705627706,226.3549783549783
23,3,sr,2268_0_0,24,0,1,3.674,0.633,3.0,6.0,2.27,220.0,6.0,271.23809523809524,40.72727272727264,290.6320346320346,385.6623376623376
24,3,sr,1973_0_0,25,0,1,6.989,2.883,0.0,3.0,4.78,418.0,13.0,355.7402597402597,22.71861471861461,233.83549783549785,380.12121212121207
25,3,sr,7374_1_0,26,1,1,106.331,1.083,0.0,6.0,23.69,6358.0,20.0,105.00432900432895,290.077922077922,502.5800865800867,285.92207792207785
26,3,sr,4878_0_1,27,0,0,52.794,1.548,0.0,8.0,14.06,3165.0,34.0,178.42424242424235,154.32034632034623,163.1861471861471,484.017316017316
27,3,sr,270_0_0,28,0,1,11.036,0.785,0.0,7.0,12.88,660.0,7.0,10.80519480519473,211.11688311688306,488.7272727272728,223.58441558441555
28,3,sr,5969_1_1,29,1,0,3.399,0.633,0.0,1.0,0.0,204.0,18.0,35.74025974025966,385.6623376623376,497.03896103896113,369.038961038961
