,participant,dataset,number,score,rule,solved,hard,p,n,tp,fn,fp,tn,precision,recall,tnr,fnr,accuracy,f1,total_duration,images_mean,images_variance,images_duration,images_duration_min,images_duration_max,pause_mean,pause_variance,pause_duration,pause_duration_min,pause_duration_max
0,3,sr,35,,0,0,0,18,17,12,6,9,8,0.5714,0.6667,0.4706,0.3333,0.5714,0.6154,347.161,8.747,364.533,306.134,1.2770000000000001,106.331,1.207,0.841,41.027,0.5670000000000001,4.84
1,3,svrt1,9,2.0,1,1,0,5,4,5,0,2,2,0.7143,1.0,0.5,0.0,0.7778,0.8333,58.242,4.5680000000000005,20.18,41.108000000000004,0.8320000000000001,12.504000000000001,2.142,3.571,17.134,0.5329999999999999,5.332999999999998
2,3,rbp5,26,19.0,1,1,1,11,15,7,4,6,9,0.5385,0.6364,0.6,0.3636,0.6154,0.5833,492.335,16.105999999999998,203.09099999999998,418.754,1.8090000000000002,54.32100000000001,2.943,36.634,73.581,0.55,28.136999999999997
3,3,rbp1,8,1.0,1,1,1,4,4,4,0,1,3,0.8,1.0,0.75,0.0,0.875,0.8889,181.18099999999998,21.768,67.793,174.143,9.593,36.346,1.005,0.5660000000000001,7.037999999999999,0.5329999999999999,2.617
4,3,sd,10,3.0,1,1,0,5,5,4,1,1,4,0.8,0.8,0.8,0.2,0.8,0.8,31.291999999999998,2.123,1.838,21.235,0.9590000000000001,5.739,1.117,1.003,10.057,0.55,3.733
5,3,svrt19,7,0.0,1,1,0,2,5,2,0,0,5,1.0,1.0,1.0,0.0,1.0,1.0,25.549,2.508,5.393,17.557000000000002,1.052,7.441,1.3319999999999999,0.192,7.992000000000001,0.616,1.933
6,3,fp5,7,0.0,1,1,0,5,2,5,0,0,2,1.0,1.0,1.0,0.0,1.0,1.0,90.485,11.899000000000001,59.843999999999994,83.29,1.976,21.631,1.199,0.424,7.195,0.75,2.228
7,3,fp1,10,3.0,1,1,0,4,6,4,0,1,5,0.8,1.0,0.8333,0.0,0.9,0.8889,185.056,17.033,38.175,170.332,5.7479999999999976,27.171,1.636,7.894,14.724,0.599,9.122
8,3,svrt20,7,0.0,1,1,0,3,4,3,0,0,4,1.0,1.0,1.0,0.0,1.0,1.0,32.611999999999995,3.3369999999999997,1.889,23.362,1.565,5.642,1.5419999999999998,0.47200000000000003,9.25,0.6829999999999999,2.484
9,3,svrt21,21,14.0,1,1,1,10,11,4,6,0,11,1.0,0.4,1.0,0.6,0.7143,0.5714,145.361,4.3180000000000005,10.718,90.681,1.824,13.834000000000001,2.734,15.833,54.68,0.6,15.665999999999999
10,3,cr5,34,27.0,1,1,0,17,17,7,10,10,7,0.4118,0.4118,0.4118,0.5882,0.4118,0.4118,722.322,18.206,580.5880000000002,619.0,0.439,96.545,3.1310000000000002,104.35700000000001,103.322,0.532,59.717
11,3,cr1,30,23.0,1,1,1,15,15,6,9,6,9,0.5,0.4,0.6,0.6,0.5,0.4444,376.13300000000004,8.815,31.711,264.46,0.48100000000000004,23.56900000000001,3.8510000000000004,49.17,111.67299999999999,0.5329999999999999,29.513
12,4,sr,17,10.0,1,1,0,8,9,7,1,2,7,0.7778,0.875,0.7778,0.125,0.8235,0.8235,44.234,1.784,0.8109999999999999,30.325,0.7020000000000001,3.877,0.8690000000000001,0.08199999999999999,13.909,0.317,1.6469999999999998
13,4,svrt1,35,,1,0,0,18,17,10,8,8,9,0.5556,0.5556,0.5294,0.4444,0.5429,0.5556,109.481,2.27,5.632999999999999,79.46600000000002,0.519,11.356,0.883,0.07200000000000001,30.015,0.55,1.551
14,4,rbp5,10,3.0,1,1,0,6,4,5,1,0,4,1.0,0.8333,1.0,0.1667,0.9,0.9091,147.42000000000004,13.759,93.591,137.586,3.971,33.347,1.093,0.117,9.834,0.55,1.5830000000000002
15,4,rbp1,35,,1,0,0,18,17,12,6,7,10,0.6316,0.6667,0.5882,0.3333,0.6286,0.6486,678.0169999999998,18.043,81.902,631.507,5.169,42.135,1.368,0.754,46.51,0.55,4.5
